emoji,name,slug,group,emoji_version,unicode_version,skin_tone_support,fuzzy_search
😀,grinning face,grinning_face,Smileys & Emotion,1.0,1.0,False,grinning face grinning_face Smileys & Emotion
😃,grinning face with big eyes,grinning_face_with_big_eyes,Smileys & Emotion,0.6,0.6,False,grinning face with big eyes grinning_face_with_big_eyes Smileys & Emotion
😄,grinning face with smiling eyes,grinning_face_with_smiling_eyes,Smileys & Emotion,0.6,0.6,False,grinning face with smiling eyes grinning_face_with_smiling_eyes Smileys & Emotion
😁,beaming face with smiling eyes,beaming_face_with_smiling_eyes,Smileys & Emotion,0.6,0.6,False,beaming face with smiling eyes beaming_face_with_smiling_eyes Smileys & Emotion
😆,grinning squinting face,grinning_squinting_face,Smileys & Emotion,0.6,0.6,False,grinning squinting face grinning_squinting_face Smileys & Emotion
😅,grinning face with sweat,grinning_face_with_sweat,Smileys & Emotion,0.6,0.6,False,grinning face with sweat grinning_face_with_sweat Smileys & Emotion
🤣,rolling on the floor laughing,rolling_on_the_floor_laughing,Smileys & Emotion,3.0,3.0,False,rolling on the floor laughing rolling_on_the_floor_laughing Smileys & Emotion
😂,face with tears of joy,face_with_tears_of_joy,Smileys & Emotion,0.6,0.6,False,face with tears of joy face_with_tears_of_joy Smileys & Emotion
🙂,slightly smiling face,slightly_smiling_face,Smileys & Emotion,1.0,1.0,False,slightly smiling face slightly_smiling_face Smileys & Emotion
🙃,upside-down face,upside_down_face,Smileys & Emotion,1.0,1.0,False,upside down face upside_down_face Smileys & Emotion
🫠,melting face,melting_face,Smileys & Emotion,14.0,14.0,False,melting face melting_face Smileys & Emotion
😉,winking face,winking_face,Smileys & Emotion,0.6,0.6,False,winking face winking_face Smileys & Emotion
😊,smiling face with smiling eyes,smiling_face_with_smiling_eyes,Smileys & Emotion,0.6,0.6,False,smiling face with smiling eyes smiling_face_with_smiling_eyes Smileys & Emotion
😇,smiling face with halo,smiling_face_with_halo,Smileys & Emotion,1.0,1.0,False,smiling face with halo smiling_face_with_halo Smileys & Emotion
🥰,smiling face with hearts,smiling_face_with_hearts,Smileys & Emotion,11.0,11.0,False,smiling face with hearts smiling_face_with_hearts Smileys & Emotion
😍,smiling face with heart-eyes,smiling_face_with_heart_eyes,Smileys & Emotion,0.6,0.6,False,smiling face with heart eyes smiling_face_with_heart_eyes Smileys & Emotion
🤩,star-struck,star_struck,Smileys & Emotion,5.0,5.0,False,star struck star_struck Smileys & Emotion
😘,face blowing a kiss,face_blowing_a_kiss,Smileys & Emotion,0.6,0.6,False,face blowing a kiss face_blowing_a_kiss Smileys & Emotion
😗,kissing face,kissing_face,Smileys & Emotion,1.0,1.0,False,kissing face kissing_face Smileys & Emotion
☺️,smiling face,smiling_face,Smileys & Emotion,0.6,0.6,False,smiling face smiling_face Smileys & Emotion
😚,kissing face with closed eyes,kissing_face_with_closed_eyes,Smileys & Emotion,0.6,0.6,False,kissing face with closed eyes kissing_face_with_closed_eyes Smileys & Emotion
😙,kissing face with smiling eyes,kissing_face_with_smiling_eyes,Smileys & Emotion,1.0,1.0,False,kissing face with smiling eyes kissing_face_with_smiling_eyes Smileys & Emotion
🥲,smiling face with tear,smiling_face_with_tear,Smileys & Emotion,13.0,13.0,False,smiling face with tear smiling_face_with_tear Smileys & Emotion
😋,face savoring food,face_savoring_food,Smileys & Emotion,0.6,0.6,False,face savoring food face_savoring_food Smileys & Emotion
😛,face with tongue,face_with_tongue,Smileys & Emotion,1.0,1.0,False,face with tongue face_with_tongue Smileys & Emotion
😜,winking face with tongue,winking_face_with_tongue,Smileys & Emotion,0.6,0.6,False,winking face with tongue winking_face_with_tongue Smileys & Emotion
🤪,zany face,zany_face,Smileys & Emotion,5.0,5.0,False,zany face zany_face Smileys & Emotion
😝,squinting face with tongue,squinting_face_with_tongue,Smileys & Emotion,0.6,0.6,False,squinting face with tongue squinting_face_with_tongue Smileys & Emotion
🤑,money-mouth face,money_mouth_face,Smileys & Emotion,1.0,1.0,False,money mouth face money_mouth_face Smileys & Emotion
🤗,smiling face with open hands,smiling_face_with_open_hands,Smileys & Emotion,1.0,1.0,False,smiling face with open hands smiling_face_with_open_hands Smileys & Emotion
🤭,face with hand over mouth,face_with_hand_over_mouth,Smileys & Emotion,5.0,5.0,False,face with hand over mouth face_with_hand_over_mouth Smileys & Emotion
🫢,face with open eyes and hand over mouth,face_with_open_eyes_and_hand_over_mouth,Smileys & Emotion,14.0,14.0,False,face with open eyes and hand over mouth face_with_open_eyes_and_hand_over_mouth Smileys & Emotion
🫣,face with peeking eye,face_with_peeking_eye,Smileys & Emotion,14.0,14.0,False,face with peeking eye face_with_peeking_eye Smileys & Emotion
🤫,shushing face,shushing_face,Smileys & Emotion,5.0,5.0,False,shushing face shushing_face Smileys & Emotion
🤔,thinking face,thinking_face,Smileys & Emotion,1.0,1.0,False,thinking face thinking_face Smileys & Emotion
🫡,saluting face,saluting_face,Smileys & Emotion,14.0,14.0,False,saluting face saluting_face Smileys & Emotion
🤐,zipper-mouth face,zipper_mouth_face,Smileys & Emotion,1.0,1.0,False,zipper mouth face zipper_mouth_face Smileys & Emotion
🤨,face with raised eyebrow,face_with_raised_eyebrow,Smileys & Emotion,5.0,5.0,False,face with raised eyebrow face_with_raised_eyebrow Smileys & Emotion
😐,neutral face,neutral_face,Smileys & Emotion,0.7,0.7,False,neutral face neutral_face Smileys & Emotion
😑,expressionless face,expressionless_face,Smileys & Emotion,1.0,1.0,False,expressionless face expressionless_face Smileys & Emotion
😶,face without mouth,face_without_mouth,Smileys & Emotion,1.0,1.0,False,face without mouth face_without_mouth Smileys & Emotion
🫥,dotted line face,dotted_line_face,Smileys & Emotion,14.0,14.0,False,dotted line face dotted_line_face Smileys & Emotion
😶‍🌫️,face in clouds,face_in_clouds,Smileys & Emotion,13.1,13.1,False,face in clouds face_in_clouds Smileys & Emotion
😏,smirking face,smirking_face,Smileys & Emotion,0.6,0.6,False,smirking face smirking_face Smileys & Emotion
😒,unamused face,unamused_face,Smileys & Emotion,0.6,0.6,False,unamused face unamused_face Smileys & Emotion
🙄,face with rolling eyes,face_with_rolling_eyes,Smileys & Emotion,1.0,1.0,False,face with rolling eyes face_with_rolling_eyes Smileys & Emotion
😬,grimacing face,grimacing_face,Smileys & Emotion,1.0,1.0,False,grimacing face grimacing_face Smileys & Emotion
😮‍💨,face exhaling,face_exhaling,Smileys & Emotion,13.1,13.1,False,face exhaling face_exhaling Smileys & Emotion
🤥,lying face,lying_face,Smileys & Emotion,3.0,3.0,False,lying face lying_face Smileys & Emotion
🫨,shaking face,shaking_face,Smileys & Emotion,15.0,15.0,False,shaking face shaking_face Smileys & Emotion
🙂‍↔️,head shaking horizontally,head_shaking_horizontally,Smileys & Emotion,15.1,15.1,False,head shaking horizontally head_shaking_horizontally Smileys & Emotion
🙂‍↕️,head shaking vertically,head_shaking_vertically,Smileys & Emotion,15.1,15.1,False,head shaking vertically head_shaking_vertically Smileys & Emotion
😌,relieved face,relieved_face,Smileys & Emotion,0.6,0.6,False,relieved face relieved_face Smileys & Emotion
😔,pensive face,pensive_face,Smileys & Emotion,0.6,0.6,False,pensive face pensive_face Smileys & Emotion
😪,sleepy face,sleepy_face,Smileys & Emotion,0.6,0.6,False,sleepy face sleepy_face Smileys & Emotion
🤤,drooling face,drooling_face,Smileys & Emotion,3.0,3.0,False,drooling face drooling_face Smileys & Emotion
😴,sleeping face,sleeping_face,Smileys & Emotion,1.0,1.0,False,sleeping face sleeping_face Smileys & Emotion
🫩,face with bags under eyes,face_with_bags_under_eyes,Smileys & Emotion,16.0,16.0,False,face with bags under eyes face_with_bags_under_eyes Smileys & Emotion
😷,face with medical mask,face_with_medical_mask,Smileys & Emotion,0.6,0.6,False,face with medical mask face_with_medical_mask Smileys & Emotion
🤒,face with thermometer,face_with_thermometer,Smileys & Emotion,1.0,1.0,False,face with thermometer face_with_thermometer Smileys & Emotion
🤕,face with head-bandage,face_with_head_bandage,Smileys & Emotion,1.0,1.0,False,face with head bandage face_with_head_bandage Smileys & Emotion
🤢,nauseated face,nauseated_face,Smileys & Emotion,3.0,3.0,False,nauseated face nauseated_face Smileys & Emotion
🤮,face vomiting,face_vomiting,Smileys & Emotion,5.0,5.0,False,face vomiting face_vomiting Smileys & Emotion
🤧,sneezing face,sneezing_face,Smileys & Emotion,3.0,3.0,False,sneezing face sneezing_face Smileys & Emotion
🥵,hot face,hot_face,Smileys & Emotion,11.0,11.0,False,hot face hot_face Smileys & Emotion
🥶,cold face,cold_face,Smileys & Emotion,11.0,11.0,False,cold face cold_face Smileys & Emotion
🥴,woozy face,woozy_face,Smileys & Emotion,11.0,11.0,False,woozy face woozy_face Smileys & Emotion
😵,face with crossed-out eyes,face_with_crossed_out_eyes,Smileys & Emotion,0.6,0.6,False,face with crossed out eyes face_with_crossed_out_eyes Smileys & Emotion
😵‍💫,face with spiral eyes,face_with_spiral_eyes,Smileys & Emotion,13.1,13.1,False,face with spiral eyes face_with_spiral_eyes Smileys & Emotion
🤯,exploding head,exploding_head,Smileys & Emotion,5.0,5.0,False,exploding head exploding_head Smileys & Emotion
🤠,cowboy hat face,cowboy_hat_face,Smileys & Emotion,3.0,3.0,False,cowboy hat face cowboy_hat_face Smileys & Emotion
🥳,partying face,partying_face,Smileys & Emotion,11.0,11.0,False,partying face partying_face Smileys & Emotion
🥸,disguised face,disguised_face,Smileys & Emotion,13.0,13.0,False,disguised face disguised_face Smileys & Emotion
😎,smiling face with sunglasses,smiling_face_with_sunglasses,Smileys & Emotion,1.0,1.0,False,smiling face with sunglasses smiling_face_with_sunglasses Smileys & Emotion
🤓,nerd face,nerd_face,Smileys & Emotion,1.0,1.0,False,nerd face nerd_face Smileys & Emotion
🧐,face with monocle,face_with_monocle,Smileys & Emotion,5.0,5.0,False,face with monocle face_with_monocle Smileys & Emotion
😕,confused face,confused_face,Smileys & Emotion,1.0,1.0,False,confused face confused_face Smileys & Emotion
🫤,face with diagonal mouth,face_with_diagonal_mouth,Smileys & Emotion,14.0,14.0,False,face with diagonal mouth face_with_diagonal_mouth Smileys & Emotion
😟,worried face,worried_face,Smileys & Emotion,1.0,1.0,False,worried face worried_face Smileys & Emotion
🙁,slightly frowning face,slightly_frowning_face,Smileys & Emotion,1.0,1.0,False,slightly frowning face slightly_frowning_face Smileys & Emotion
☹️,frowning face,frowning_face,Smileys & Emotion,0.7,0.7,False,frowning face frowning_face Smileys & Emotion
😮,face with open mouth,face_with_open_mouth,Smileys & Emotion,1.0,1.0,False,face with open mouth face_with_open_mouth Smileys & Emotion
😯,hushed face,hushed_face,Smileys & Emotion,1.0,1.0,False,hushed face hushed_face Smileys & Emotion
😲,astonished face,astonished_face,Smileys & Emotion,0.6,0.6,False,astonished face astonished_face Smileys & Emotion
😳,flushed face,flushed_face,Smileys & Emotion,0.6,0.6,False,flushed face flushed_face Smileys & Emotion
🥺,pleading face,pleading_face,Smileys & Emotion,11.0,11.0,False,pleading face pleading_face Smileys & Emotion
🥹,face holding back tears,face_holding_back_tears,Smileys & Emotion,14.0,14.0,False,face holding back tears face_holding_back_tears Smileys & Emotion
😦,frowning face with open mouth,frowning_face_with_open_mouth,Smileys & Emotion,1.0,1.0,False,frowning face with open mouth frowning_face_with_open_mouth Smileys & Emotion
😧,anguished face,anguished_face,Smileys & Emotion,1.0,1.0,False,anguished face anguished_face Smileys & Emotion
😨,fearful face,fearful_face,Smileys & Emotion,0.6,0.6,False,fearful face fearful_face Smileys & Emotion
😰,anxious face with sweat,anxious_face_with_sweat,Smileys & Emotion,0.6,0.6,False,anxious face with sweat anxious_face_with_sweat Smileys & Emotion
😥,sad but relieved face,sad_but_relieved_face,Smileys & Emotion,0.6,0.6,False,sad but relieved face sad_but_relieved_face Smileys & Emotion
😢,crying face,crying_face,Smileys & Emotion,0.6,0.6,False,crying face crying_face Smileys & Emotion
😭,loudly crying face,loudly_crying_face,Smileys & Emotion,0.6,0.6,False,loudly crying face loudly_crying_face Smileys & Emotion
😱,face screaming in fear,face_screaming_in_fear,Smileys & Emotion,0.6,0.6,False,face screaming in fear face_screaming_in_fear Smileys & Emotion
😖,confounded face,confounded_face,Smileys & Emotion,0.6,0.6,False,confounded face confounded_face Smileys & Emotion
😣,persevering face,persevering_face,Smileys & Emotion,0.6,0.6,False,persevering face persevering_face Smileys & Emotion
😞,disappointed face,disappointed_face,Smileys & Emotion,0.6,0.6,False,disappointed face disappointed_face Smileys & Emotion
😓,downcast face with sweat,downcast_face_with_sweat,Smileys & Emotion,0.6,0.6,False,downcast face with sweat downcast_face_with_sweat Smileys & Emotion
😩,weary face,weary_face,Smileys & Emotion,0.6,0.6,False,weary face weary_face Smileys & Emotion
😫,tired face,tired_face,Smileys & Emotion,0.6,0.6,False,tired face tired_face Smileys & Emotion
🥱,yawning face,yawning_face,Smileys & Emotion,12.0,12.0,False,yawning face yawning_face Smileys & Emotion
😤,face with steam from nose,face_with_steam_from_nose,Smileys & Emotion,0.6,0.6,False,face with steam from nose face_with_steam_from_nose Smileys & Emotion
😡,enraged face,enraged_face,Smileys & Emotion,0.6,0.6,False,enraged face enraged_face Smileys & Emotion
😠,angry face,angry_face,Smileys & Emotion,0.6,0.6,False,angry face angry_face Smileys & Emotion
🤬,face with symbols on mouth,face_with_symbols_on_mouth,Smileys & Emotion,5.0,5.0,False,face with symbols on mouth face_with_symbols_on_mouth Smileys & Emotion
😈,smiling face with horns,smiling_face_with_horns,Smileys & Emotion,1.0,1.0,False,smiling face with horns smiling_face_with_horns Smileys & Emotion
👿,angry face with horns,angry_face_with_horns,Smileys & Emotion,0.6,0.6,False,angry face with horns angry_face_with_horns Smileys & Emotion
💀,skull,skull,Smileys & Emotion,0.6,0.6,False,skull skull Smileys & Emotion
☠️,skull and crossbones,skull_and_crossbones,Smileys & Emotion,1.0,1.0,False,skull and crossbones skull_and_crossbones Smileys & Emotion
💩,pile of poo,pile_of_poo,Smileys & Emotion,0.6,0.6,False,pile of poo pile_of_poo Smileys & Emotion
🤡,clown face,clown_face,Smileys & Emotion,3.0,3.0,False,clown face clown_face Smileys & Emotion
👹,ogre,ogre,Smileys & Emotion,0.6,0.6,False,ogre ogre Smileys & Emotion
👺,goblin,goblin,Smileys & Emotion,0.6,0.6,False,goblin goblin Smileys & Emotion
👻,ghost,ghost,Smileys & Emotion,0.6,0.6,False,ghost ghost Smileys & Emotion
👽,alien,alien,Smileys & Emotion,0.6,0.6,False,alien alien Smileys & Emotion
👾,alien monster,alien_monster,Smileys & Emotion,0.6,0.6,False,alien monster alien_monster Smileys & Emotion
🤖,robot,robot,Smileys & Emotion,1.0,1.0,False,robot robot Smileys & Emotion
😺,grinning cat,grinning_cat,Smileys & Emotion,0.6,0.6,False,grinning cat grinning_cat Smileys & Emotion
😸,grinning cat with smiling eyes,grinning_cat_with_smiling_eyes,Smileys & Emotion,0.6,0.6,False,grinning cat with smiling eyes grinning_cat_with_smiling_eyes Smileys & Emotion
😹,cat with tears of joy,cat_with_tears_of_joy,Smileys & Emotion,0.6,0.6,False,cat with tears of joy cat_with_tears_of_joy Smileys & Emotion
😻,smiling cat with heart-eyes,smiling_cat_with_heart_eyes,Smileys & Emotion,0.6,0.6,False,smiling cat with heart eyes smiling_cat_with_heart_eyes Smileys & Emotion
😼,cat with wry smile,cat_with_wry_smile,Smileys & Emotion,0.6,0.6,False,cat with wry smile cat_with_wry_smile Smileys & Emotion
😽,kissing cat,kissing_cat,Smileys & Emotion,0.6,0.6,False,kissing cat kissing_cat Smileys & Emotion
🙀,weary cat,weary_cat,Smileys & Emotion,0.6,0.6,False,weary cat weary_cat Smileys & Emotion
😿,crying cat,crying_cat,Smileys & Emotion,0.6,0.6,False,crying cat crying_cat Smileys & Emotion
😾,pouting cat,pouting_cat,Smileys & Emotion,0.6,0.6,False,pouting cat pouting_cat Smileys & Emotion
🙈,see-no-evil monkey,see_no_evil_monkey,Smileys & Emotion,0.6,0.6,False,see no evil monkey see_no_evil_monkey Smileys & Emotion
🙉,hear-no-evil monkey,hear_no_evil_monkey,Smileys & Emotion,0.6,0.6,False,hear no evil monkey hear_no_evil_monkey Smileys & Emotion
🙊,speak-no-evil monkey,speak_no_evil_monkey,Smileys & Emotion,0.6,0.6,False,speak no evil monkey speak_no_evil_monkey Smileys & Emotion
💌,love letter,love_letter,Smileys & Emotion,0.6,0.6,False,love letter love_letter Smileys & Emotion
💘,heart with arrow,heart_with_arrow,Smileys & Emotion,0.6,0.6,False,heart with arrow heart_with_arrow Smileys & Emotion
💝,heart with ribbon,heart_with_ribbon,Smileys & Emotion,0.6,0.6,False,heart with ribbon heart_with_ribbon Smileys & Emotion
💖,sparkling heart,sparkling_heart,Smileys & Emotion,0.6,0.6,False,sparkling heart sparkling_heart Smileys & Emotion
💗,growing heart,growing_heart,Smileys & Emotion,0.6,0.6,False,growing heart growing_heart Smileys & Emotion
💓,beating heart,beating_heart,Smileys & Emotion,0.6,0.6,False,beating heart beating_heart Smileys & Emotion
💞,revolving hearts,revolving_hearts,Smileys & Emotion,0.6,0.6,False,revolving hearts revolving_hearts Smileys & Emotion
💕,two hearts,two_hearts,Smileys & Emotion,0.6,0.6,False,two hearts two_hearts Smileys & Emotion
💟,heart decoration,heart_decoration,Smileys & Emotion,0.6,0.6,False,heart decoration heart_decoration Smileys & Emotion
❣️,heart exclamation,heart_exclamation,Smileys & Emotion,1.0,1.0,False,heart exclamation heart_exclamation Smileys & Emotion
💔,broken heart,broken_heart,Smileys & Emotion,0.6,0.6,False,broken heart broken_heart Smileys & Emotion
❤️‍🔥,heart on fire,heart_on_fire,Smileys & Emotion,13.1,13.1,False,heart on fire heart_on_fire Smileys & Emotion
❤️‍🩹,mending heart,mending_heart,Smileys & Emotion,13.1,13.1,False,mending heart mending_heart Smileys & Emotion
❤️,red heart,red_heart,Smileys & Emotion,0.6,0.6,False,red heart red_heart Smileys & Emotion
🩷,pink heart,pink_heart,Smileys & Emotion,15.0,15.0,False,pink heart pink_heart Smileys & Emotion
🧡,orange heart,orange_heart,Smileys & Emotion,5.0,5.0,False,orange heart orange_heart Smileys & Emotion
💛,yellow heart,yellow_heart,Smileys & Emotion,0.6,0.6,False,yellow heart yellow_heart Smileys & Emotion
💚,green heart,green_heart,Smileys & Emotion,0.6,0.6,False,green heart green_heart Smileys & Emotion
💙,blue heart,blue_heart,Smileys & Emotion,0.6,0.6,False,blue heart blue_heart Smileys & Emotion
🩵,light blue heart,light_blue_heart,Smileys & Emotion,15.0,15.0,False,light blue heart light_blue_heart Smileys & Emotion
💜,purple heart,purple_heart,Smileys & Emotion,0.6,0.6,False,purple heart purple_heart Smileys & Emotion
🤎,brown heart,brown_heart,Smileys & Emotion,12.0,12.0,False,brown heart brown_heart Smileys & Emotion
🖤,black heart,black_heart,Smileys & Emotion,3.0,3.0,False,black heart black_heart Smileys & Emotion
🩶,grey heart,grey_heart,Smileys & Emotion,15.0,15.0,False,grey heart grey_heart Smileys & Emotion
🤍,white heart,white_heart,Smileys & Emotion,12.0,12.0,False,white heart white_heart Smileys & Emotion
💋,kiss mark,kiss_mark,Smileys & Emotion,0.6,0.6,False,kiss mark kiss_mark Smileys & Emotion
💯,hundred points,hundred_points,Smileys & Emotion,0.6,0.6,False,hundred points hundred_points Smileys & Emotion
💢,anger symbol,anger_symbol,Smileys & Emotion,0.6,0.6,False,anger symbol anger_symbol Smileys & Emotion
💥,collision,collision,Smileys & Emotion,0.6,0.6,False,collision collision Smileys & Emotion
💫,dizzy,dizzy,Smileys & Emotion,0.6,0.6,False,dizzy dizzy Smileys & Emotion
💦,sweat droplets,sweat_droplets,Smileys & Emotion,0.6,0.6,False,sweat droplets sweat_droplets Smileys & Emotion
💨,dashing away,dashing_away,Smileys & Emotion,0.6,0.6,False,dashing away dashing_away Smileys & Emotion
🕳️,hole,hole,Smileys & Emotion,0.7,0.7,False,hole hole Smileys & Emotion
💬,speech balloon,speech_balloon,Smileys & Emotion,0.6,0.6,False,speech balloon speech_balloon Smileys & Emotion
👁️‍🗨️,eye in speech bubble,eye_in_speech_bubble,Smileys & Emotion,2.0,2.0,False,eye in speech bubble eye_in_speech_bubble Smileys & Emotion
🗨️,left speech bubble,left_speech_bubble,Smileys & Emotion,2.0,2.0,False,left speech bubble left_speech_bubble Smileys & Emotion
🗯️,right anger bubble,right_anger_bubble,Smileys & Emotion,0.7,0.7,False,right anger bubble right_anger_bubble Smileys & Emotion
💭,thought balloon,thought_balloon,Smileys & Emotion,1.0,1.0,False,thought balloon thought_balloon Smileys & Emotion
💤,ZZZ,zzz,Smileys & Emotion,0.6,0.6,False,ZZZ zzz Smileys & Emotion
👋,waving hand,waving_hand,People & Body,0.6,0.6,True,waving hand waving_hand People & Body
🤚,raised back of hand,raised_back_of_hand,People & Body,3.0,3.0,True,raised back of hand raised_back_of_hand People & Body
🖐️,hand with fingers splayed,hand_with_fingers_splayed,People & Body,0.7,0.7,True,hand with fingers splayed hand_with_fingers_splayed People & Body
✋,raised hand,raised_hand,People & Body,0.6,0.6,True,raised hand raised_hand People & Body
🖖,vulcan salute,vulcan_salute,People & Body,1.0,1.0,True,vulcan salute vulcan_salute People & Body
🫱,rightwards hand,rightwards_hand,People & Body,14.0,14.0,True,rightwards hand rightwards_hand People & Body
🫲,leftwards hand,leftwards_hand,People & Body,14.0,14.0,True,leftwards hand leftwards_hand People & Body
🫳,palm down hand,palm_down_hand,People & Body,14.0,14.0,True,palm down hand palm_down_hand People & Body
🫴,palm up hand,palm_up_hand,People & Body,14.0,14.0,True,palm up hand palm_up_hand People & Body
🫷,leftwards pushing hand,leftwards_pushing_hand,People & Body,15.0,15.0,True,leftwards pushing hand leftwards_pushing_hand People & Body
🫸,rightwards pushing hand,rightwards_pushing_hand,People & Body,15.0,15.0,True,rightwards pushing hand rightwards_pushing_hand People & Body
👌,OK hand,ok_hand,People & Body,0.6,0.6,True,OK hand ok_hand People & Body
🤌,pinched fingers,pinched_fingers,People & Body,13.0,13.0,True,pinched fingers pinched_fingers People & Body
🤏,pinching hand,pinching_hand,People & Body,12.0,12.0,True,pinching hand pinching_hand People & Body
✌️,victory hand,victory_hand,People & Body,0.6,0.6,True,victory hand victory_hand People & Body
🤞,crossed fingers,crossed_fingers,People & Body,3.0,3.0,True,crossed fingers crossed_fingers People & Body
🫰,hand with index finger and thumb crossed,hand_with_index_finger_and_thumb_crossed,People & Body,14.0,14.0,True,hand with index finger and thumb crossed hand_with_index_finger_and_thumb_crossed People & Body
🤟,love-you gesture,love_you_gesture,People & Body,5.0,5.0,True,love you gesture love_you_gesture People & Body
🤘,sign of the horns,sign_of_the_horns,People & Body,1.0,1.0,True,sign of the horns sign_of_the_horns People & Body
🤙,call me hand,call_me_hand,People & Body,3.0,3.0,True,call me hand call_me_hand People & Body
👈,backhand index pointing left,backhand_index_pointing_left,People & Body,0.6,0.6,True,backhand index pointing left backhand_index_pointing_left People & Body
👉,backhand index pointing right,backhand_index_pointing_right,People & Body,0.6,0.6,True,backhand index pointing right backhand_index_pointing_right People & Body
👆,backhand index pointing up,backhand_index_pointing_up,People & Body,0.6,0.6,True,backhand index pointing up backhand_index_pointing_up People & Body
🖕,middle finger,middle_finger,People & Body,1.0,1.0,True,middle finger middle_finger People & Body
👇,backhand index pointing down,backhand_index_pointing_down,People & Body,0.6,0.6,True,backhand index pointing down backhand_index_pointing_down People & Body
☝️,index pointing up,index_pointing_up,People & Body,0.6,0.6,True,index pointing up index_pointing_up People & Body
🫵,index pointing at the viewer,index_pointing_at_the_viewer,People & Body,14.0,14.0,True,index pointing at the viewer index_pointing_at_the_viewer People & Body
👍,thumbs up,thumbs_up,People & Body,0.6,0.6,True,thumbs up thumbs_up People & Body
👎,thumbs down,thumbs_down,People & Body,0.6,0.6,True,thumbs down thumbs_down People & Body
✊,raised fist,raised_fist,People & Body,0.6,0.6,True,raised fist raised_fist People & Body
👊,oncoming fist,oncoming_fist,People & Body,0.6,0.6,True,oncoming fist oncoming_fist People & Body
🤛,left-facing fist,left_facing_fist,People & Body,3.0,3.0,True,left facing fist left_facing_fist People & Body
🤜,right-facing fist,right_facing_fist,People & Body,3.0,3.0,True,right facing fist right_facing_fist People & Body
👏,clapping hands,clapping_hands,People & Body,0.6,0.6,True,clapping hands clapping_hands People & Body
🙌,raising hands,raising_hands,People & Body,0.6,0.6,True,raising hands raising_hands People & Body
🫶,heart hands,heart_hands,People & Body,14.0,14.0,True,heart hands heart_hands People & Body
👐,open hands,open_hands,People & Body,0.6,0.6,True,open hands open_hands People & Body
🤲,palms up together,palms_up_together,People & Body,5.0,5.0,True,palms up together palms_up_together People & Body
🤝,handshake,handshake,People & Body,3.0,3.0,True,handshake handshake People & Body
🙏,folded hands,folded_hands,People & Body,0.6,0.6,True,folded hands folded_hands People & Body
✍️,writing hand,writing_hand,People & Body,0.7,0.7,True,writing hand writing_hand People & Body
💅,nail polish,nail_polish,People & Body,0.6,0.6,True,nail polish nail_polish People & Body
🤳,selfie,selfie,People & Body,3.0,3.0,True,selfie selfie People & Body
💪,flexed biceps,flexed_biceps,People & Body,0.6,0.6,True,flexed biceps flexed_biceps People & Body
🦾,mechanical arm,mechanical_arm,People & Body,12.0,12.0,False,mechanical arm mechanical_arm People & Body
🦿,mechanical leg,mechanical_leg,People & Body,12.0,12.0,False,mechanical leg mechanical_leg People & Body
🦵,leg,leg,People & Body,11.0,11.0,True,leg leg People & Body
🦶,foot,foot,People & Body,11.0,11.0,True,foot foot People & Body
👂,ear,ear,People & Body,0.6,0.6,True,ear ear People & Body
🦻,ear with hearing aid,ear_with_hearing_aid,People & Body,12.0,12.0,True,ear with hearing aid ear_with_hearing_aid People & Body
👃,nose,nose,People & Body,0.6,0.6,True,nose nose People & Body
🧠,brain,brain,People & Body,5.0,5.0,False,brain brain People & Body
🫀,anatomical heart,anatomical_heart,People & Body,13.0,13.0,False,anatomical heart anatomical_heart People & Body
🫁,lungs,lungs,People & Body,13.0,13.0,False,lungs lungs People & Body
🦷,tooth,tooth,People & Body,11.0,11.0,False,tooth tooth People & Body
🦴,bone,bone,People & Body,11.0,11.0,False,bone bone People & Body
👀,eyes,eyes,People & Body,0.6,0.6,False,eyes eyes People & Body
👁️,eye,eye,People & Body,0.7,0.7,False,eye eye People & Body
👅,tongue,tongue,People & Body,0.6,0.6,False,tongue tongue People & Body
👄,mouth,mouth,People & Body,0.6,0.6,False,mouth mouth People & Body
🫦,biting lip,biting_lip,People & Body,14.0,14.0,False,biting lip biting_lip People & Body
👶,baby,baby,People & Body,0.6,0.6,True,baby baby People & Body
🧒,child,child,People & Body,5.0,5.0,True,child child People & Body
👦,boy,boy,People & Body,0.6,0.6,True,boy boy People & Body
👧,girl,girl,People & Body,0.6,0.6,True,girl girl People & Body
🧑,person,person,People & Body,5.0,5.0,True,person person People & Body
👱,person blond hair,person_blond_hair,People & Body,0.6,0.6,True,person blond hair person_blond_hair People & Body
👨,man,man,People & Body,0.6,0.6,True,man man People & Body
🧔,person beard,person_beard,People & Body,5.0,5.0,True,person beard person_beard People & Body
🧔‍♂️,man beard,man_beard,People & Body,13.1,13.1,True,man beard man_beard People & Body
🧔‍♀️,woman beard,woman_beard,People & Body,13.1,13.1,True,woman beard woman_beard People & Body
👨‍🦰,man red hair,man_red_hair,People & Body,11.0,11.0,True,man red hair man_red_hair People & Body
👨‍🦱,man curly hair,man_curly_hair,People & Body,11.0,11.0,True,man curly hair man_curly_hair People & Body
👨‍🦳,man white hair,man_white_hair,People & Body,11.0,11.0,True,man white hair man_white_hair People & Body
👨‍🦲,man bald,man_bald,People & Body,11.0,11.0,True,man bald man_bald People & Body
👩,woman,woman,People & Body,0.6,0.6,True,woman woman People & Body
👩‍🦰,woman red hair,woman_red_hair,People & Body,11.0,11.0,True,woman red hair woman_red_hair People & Body
